id,"text","key"
359,"An ordinary chondrite from the H group that is petrologic type 3.","H3.1"
360,"A carbonaceous chondrite of the CO group that is petrologic type 3.","CO3.4"
361,"An achondrite from the eucrite group; the meteorite is a polymict breccia.","Eucrite-pmict"
362,"An achondrite from the eucrite group; the meteorite is a monomict breccia.","Eucrite-mmict"
363,"An ordinary chondrite from either the H group or L group that is petrologic type 3.","H/L3.5"
364,"A primitive achondrite belonging to the brachinite group.","Brachinite"
365,"An achondrite from the eucrite group.","Eucrite"
366,"A mesosiderite of petrologic class A and metamorphic grade 3.","Mesosiderite-A3"
367,"An enstatite chondrite of the EL group that is petrologic type 4.","EL4"
368,"An ordinary chondrite from either the L group or LL group that is petrologic type 6.","L/LL6"
369,"A lunar meteorite that is primarily gabbroic.","Lunar (gabbro)"
370,"An ordinary chondrite from the L group that is petrologic type 3.","L3.8"
371,"An iron meteorite belonging to the low-Au, low-Ni subgroup (sLL) of the IAB complex.","Iron, IAB-sLL"
372,"An ordinary chondrite from the H group that is either petrologic type 4 or type 5.","H4/5"
373,"A mesosiderite that has not been assigned to a petrologic class or metamorphic grade.","Mesosiderite"
374,"An ordinary chondrite from the L group that is either petrologic type 6 or type 7.","L6/7"
375,"An ordinary chondrite from the LL group that is petrologic type 3.","LL3.2"
376,"A carbonaceous chondrite of the CK group that is anomalous and petrologic type 5.","CK5"
377,"An ordinary chondrite that may be from the LL group and for which petrologic type has not been determined.","LL?"
378,"An orthopyroxene-rich martian meteorite;  this martian meteorite is not assigned to the shergottite, nakhlite, or chassignite types.","Martian (OPX)"
379,"A relict meteorite that originated as an iron meteorite","Relict iron"
380,"An ordinary chondrite from the L group that is petrologic type 3 and has anomalous properties.","L3.8-an"
381,"An ordinary chondrite from the L group that is either petrologic type 3 or type 4.","L3/4"
382,"An ordinary chondrite from either the L group or LL group that is a breccia of type 4 through type 6 components.","L/LL4-6"
383,"An ordinary chondrite that may be from the H group and for which petrologic type has not been determined.","H?"
384,"An ordinary chondrite from the H group that is a breccia of components ranging from petrologic type 3 to type 6.","H3.4-5"
385,"An ordinary chondrite from the L group that is a breccia of components that are all petrologic type 3.","L3.3-3.5"
386,"A carbonaceous chondrite of the CK group that is anomalous and petrologic type 3.","CK3-an"
387,"A carbonaceous chondrite of petrologic type 4 that is ungrouped.","C4-ung"
388,"A carbonaceous chondrite of the CK group that is either petrologic type 5 or type 6.","CK5/6"
389,"An ordinary chondrite from either the L group or, less likely, the LL group that is petrologic type 5.","L(LL)5"
390,"An ordinary chondrite from the LL group that is either petrologic type 4 or type 5.","LL4/5"
391,"An R chondrite that is a breccia of components ranging from petrologic type 3 to type 6.","R3-6"
392,"An achondrite from the eucrite group; the meteorite is a cumulate eucrite.","Eucrite-cm"
393,"A carbonaceous chondrite that is transitional between the CH group and the b-subgroup of the CB group","CH/CBb"
394,"An enstatite chondrite that has not yet been classified and which has anomalous properties.","E-an"
395,"A mesosiderite of petrologic class A and metamorphic grade 3 or 4.","Mesosiderite-A3/4"
396,"A lunar meteorite that is a breccia of primarily feldspathic lithologies.","Lunar (feldsp. breccia)"
397,"An R chondrite that is petrologic type 5.","R5"
398,"An iron meteorite belonging to the IAB complex that has anomalous properties.","Iron, IAB-an"
